LOSSFILE	
FileFormatVersion	YLT_1.1
LossTableHeaderFormat	Manual Import
LossTableHeaderProducer	MAT-R
LossTableType	YLT
LossTableBasis	AM
CreateDate	2018-08-07
Model	Elements
ModelProvider	IF
ModelSystem	Elements
ModelSystemVersion	10.0.0.0
ModelSystemInstance	PRD
ResultsDatabaseName	IF_RES_2018_THFL
User	U000886
Simulation_Set_Id	7511
Peril	FL
Region	Thailand
Model_Version	10.0.0.0
ModelModule	DLM
Geo_Code	THA
SourceResultsReference	42
ResultsName	FPG_QS_SPL - FPG_QS_SPL
ResultsDescription	NA
Run_Date	2018-06-27
Run_Date	2018-06-27
Currency	THB
FinPerspective	GU
Years	100000
SimulationPeriodBasis	1
OccurrenceBasis	PerEvent
OEP2	0
OEP5	8169385
OEP10	131946097
OEP25	565116148
OEP50	1855095265
OEP100	2171342391
OEP200	2356876878
OEP250	2391373373
OEP500	2520814472
OEP1000	2683327326
OEP5000	2969410750
OEP10000	3104076686
AAL	86965188.90267
STD	352523451.318785
COV	4.05361565664306
#[HEADER-END]
EventID	Year	MM-DD(n)	Value
751100175	71390	10-04(0)	64691026
751100175	73176	06-27(0)	64691026
751100175	89033	06-03(0)	64691026
751100175	90504	09-21(0)	64691026
751100177	42317	10-03(0)	1848481756
751100177	66918	09-02(0)	1848481756
751100177	75967	09-08(0)	1848481756
751100186	29416	07-24(0)	105689056
751100186	34939	06-10(0)	105689056
751100186	35099	08-07(0)	105689056
751100186	66546	06-08(0)	105689056
751100186	86683	08-21(0)	105689056
751100187	26353	05-15(0)	169686880
751100187	62961	09-22(0)	169686880
751100190	52634	05-21(0)	1789209355
751100190	78288	09-12(0)	1789209355
751100190	79003	06-14(0)	1789209355
751100191	1607	05-31(0)	13196709
751100191	5123	08-24(0)	13196709
751100191	13554	10-14(0)	13196709
751100191	48771	08-21(0)	13196709
751100191	49584	09-27(0)	13196709
751100191	76599	09-21(0)	13196709
751100191	79595	08-23(0)	13196709
751100191	80973	10-06(0)	13196709
751100193	8969	06-26(0)	8315676
751100193	16685	07-28(0)	8315676
751100193	40967	10-03(0)	8315676
751100193	45469	05-25(0)	8315676
751100193	66572	10-09(0)	8315676
751100193	93810	10-09(0)	8315676
751100194	7316	06-15(0)	49297247
751100194	21171	10-09(0)	49297247
751100194	57682	09-02(0)	49297247
751100194	70108	06-04(0)	49297247
751100194	83815	06-18(0)	49297247
751100195	55191	07-10(0)	44160413
751100195	78448	07-26(0)	44160413
751100195	83014	10-06(0)	44160413
751100196	51142	08-26(0)	79718864
751100196	52070	05-31(0)	79718864
751100196	85502	06-21(0)	79718864
751100196	97228	08-12(0)	79718864
751100196	99494	08-18(0)	79718864
751100197	9442	09-19(0)	44564439
751100197	21369	07-20(0)	44564439
751100197	23924	07-10(0)	44564439
751100197	61044	09-17(0)	44564439
751100197	68748	08-24(0)	44564439
751100197	82669	10-08(0)	44564439
751100199	7697	10-08(0)	55583693
751100199	75096	09-16(0)	55583693
751100199	84684	10-12(0)	55583693
751100199	96863	09-13(0)	55583693
751100200	21791	07-24(0)	683811812
751100200	23152	09-23(0)	683811812
751100200	32006	09-11(0)	683811812
751100200	35420	08-18(0)	683811812
751100200	41160	09-22(0)	683811812
751100200	41592	06-25(0)	683811812
751100200	46058	07-17(0)	683811812
751100200	53177	06-03(0)	683811812
751100200	82378	10-01(0)	683811812
751100201	26557	09-30(0)	73291118
751100201	51550	06-04(0)	73291118
751100201	78113	05-22(0)	73291118
751100202	188	09-14(0)	290652209
751100202	16874	07-11(0)	290652209
751100202	38343	07-02(0)	290652209
751100202	86051	08-05(0)	290652209
751100202	92643	09-15(0)	290652209
751100202	95839	08-28(0)	290652209
751100202	97628	06-28(0)	290652209
751100204	487	06-28(0)	7923412
751100204	5357	07-08(0)	7923412
751100204	34036	09-05(0)	7923412
751100204	61118	07-08(0)	7923412
751100204	61565	08-16(0)	7923412
751100204	68132	08-30(0)	7923412
751100210	39219	10-02(0)	6121058
751100210	43655	10-08(0)	6121058
751100210	43789	08-21(0)	6121058
751100210	45777	05-31(0)	6121058
751100210	55652	08-10(0)	6121058
751100210	72231	07-17(0)	6121058
751100211	4512	06-14(0)	76008281
751100211	26291	08-20(0)	76008281
751100211	74877	09-07(0)	76008281
751100211	89978	05-28(0)	76008281
751100211	91204	06-09(0)	76008281
751100212	5335	10-04(0)	44164070
751100212	13750	06-03(0)	44164070
751100212	36628	08-25(0)	44164070
751100212	61292	09-22(0)	44164070
751100212	71020	05-22(0)	44164070
751100212	76935	08-03(0)	44164070
751100212	85635	06-21(0)	44164070
751100213	71682	05-30(0)	3751664
751100213	92787	07-17(0)	3751664
751100213	97187	09-22(0)	3751664
751100216	33858	09-17(0)	237998749
751100216	44834	08-05(0)	237998749
751100216	58474	06-14(0)	237998749
751100216	84358	06-24(0)	237998749
751100216	91305	08-15(0)	237998749
751100217	5642	07-08(0)	1928369
751100217	12612	05-21(0)	1928369
751100217	56600	10-09(0)	1928369
751100217	87476	09-02(0)	1928369
751100219	8021	09-27(0)	108963829
751100219	27917	09-17(0)	108963829
751100219	33166	06-19(0)	108963829
751100219	45634	05-28(0)	108963829
751100219	83289	09-24(0)	108963829
751100220	9103	05-21(0)	644081134
751100220	10417	07-10(0)	644081134
751100220	11097	10-11(0)	644081134
